Entry,Entry name,Status,Protein names,Cross-reference (DrugBank),Annotation
Q9NWM0,SMOX_HUMAN,reviewed,Spermine oxidase (EC 1.5.3.16) (Polyamine oxidase 1) (PAO-1) (PAOh1),DB04188;DB00127;,5 out of 5
Q8WVT3,TPC12_HUMAN,reviewed,Trafficking protein particle complex subunit 12 (Tetratricopeptide repeat protein 15) (TPR repeat protein 15) (TTC-15) (Trafficking of membranes and mitosis),,5 out of 5
Q13445,TMED1_HUMAN,reviewed,Transmembrane emp24 domain-containing protein 1 (Interleukin-1 receptor-like 1 ligand) (Putative T1/ST2 receptor-binding protein) (p24 family protein gamma-1) (Tp24) (p24gamma1),,5 out of 5
Q9Y5Y6,ST14_HUMAN,reviewed,Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein),DB03127;DB13729;DB00013;,5 out of 5
Q80TY4,ST18_MOUSE,reviewed,Suppression of tumorigenicity 18 protein,,4 out of 5
O43463,SUV91_HUMAN,reviewed,Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.355) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Lysine N-methyltransferase 1A) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1),,5 out of 5
Q13813,SPTN1_HUMAN,reviewed,"Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)",,5 out of 5
A6NNA2,SRRM3_HUMAN,reviewed,Serine/arginine repetitive matrix protein 3,,2 out of 5
O76070,SYUG_HUMAN,reviewed,Gamma-synuclein (Breast cancer-specific gene 1 protein) (Persyn) (Synoretin) (SR),,5 out of 5
Q9NVA1,UQCC1_HUMAN,reviewed,Ubiquinol-cytochrome-c reductase complex assembly factor 1 (Basic FGF-repressed Zic-binding protein) (bFGF-repressed Zic-binding protein) (bFZb) (Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog),,5 out of 5
Q9HD64,XAGE1_HUMAN,reviewed,X antigen family member 1 (XAGE-1) (Cancer/testis antigen 12.1) (CT12.1) (G antigen family D member 2),,4 out of 5
O15164,TIF1A_HUMAN,reviewed,Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24),,5 out of 5
Q14526,HIC1_HUMAN,reviewed,Hypermethylated in cancer 1 protein (Hic-1) (Zinc finger and BTB domain-containing protein 29),,5 out of 5
P56524,HDAC4_HUMAN,reviewed,Histone deacetylase 4 (HD4) (EC 3.5.1.98),DB08613;DB05015;DB07879;DB06603;DB06176;DB01593;DB14487;DB14533;DB14548;,5 out of 5
Q9UBN7,HDAC6_HUMAN,reviewed,Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-),DB05015;DB13346;DB06603;DB05223;DB06176;DB02546;,5 out of 5
P09912,IFI6_HUMAN,reviewed,Interferon alpha-inducible protein 6 (Interferon-induced protein 6-16) (Ifi-6-16),,5 out of 5
Q9UPN3,MACF1_HUMAN,reviewed,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)",,5 out of 5
Q9UKR3,KLK13_HUMAN,reviewed,Kallikrein-13 (EC 3.4.21.-) (Kallikrein-like protein 4) (KLK-L4),,4 out of 5
Q02750,MP2K1_HUMAN,reviewed,Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1),DB06892;DB07046;DB08208;DB03115;DB06616;DB05239;DB02152;DB08130;DB07101;DB11689;DB08911;,5 out of 5
Q3ZCN5,OTOGL_HUMAN,reviewed,Otogelin-like protein,,4 out of 5
A5A3E0,POTEF_HUMAN,reviewed,POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein),,4 out of 5
O75154,RFIP3_HUMAN,reviewed,Rab11 family-interacting protein 3 (FIP3-Rab11) (Rab11-FIP3) (Arfophilin-1) (EF hands-containing Rab-interacting protein) (Eferin) (MU-MB-17.148),,5 out of 5
Q92932,PTPR2_HUMAN,reviewed,Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.-) (EC 3.1.3.48) (Islet cell autoantigen-related protein) (IAR) (ICAAR) (Phogrin) [Cleaved into: IA-2beta60],,5 out of 5
P08575,PTPRC_HUMAN,reviewed,Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45),,5 out of 5
P13631,RARG_HUMAN,reviewed,Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3),DB07294;DB07031;DB00459;DB00210;DB00523;DB02466;DB03466;DB02741;DB03279;DB00926;DB00982;DB05785;DB05467;DB02258;DB00799;DB00755;DB12808;,5 out of 5
P57735,RAB25_HUMAN,reviewed,Ras-related protein Rab-25 (CATX-8),,5 out of 5
Q8N488,RYBP_HUMAN,reviewed,RING1 and YY1-binding protein (Apoptin-associating protein 1) (APAP-1) (Death effector domain-associated factor) (DED-associated factor) (YY1 and E4TF1-associated factor 1),,5 out of 5
Q8CCI5,RYBP_MOUSE,reviewed,RING1 and YY1-binding protein (Death effector domain-associated factor) (DED-associated factor),,5 out of 5
P29034,S10A2_HUMAN,reviewed,Protein S100-A2 (CAN19) (Protein S-100L) (S100 calcium-binding protein A2),DB01373;DB09130;DB00768;DB01593;DB14487;DB14533;DB14548;,5 out of 5
P31151,S10A7_HUMAN,reviewed,Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7),DB04474;DB09213;DB01050;DB01593;DB14487;DB14533;DB14548;,5 out of 5
Q8WVN6,SCTM1_HUMAN,reviewed,Secreted and transmembrane protein 1 (Protein K-12),,5 out of 5
P61218,RPAB2_HUMAN,reviewed,"DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (DNA-directed RNA polymerase II subunit F) (DNA-directed RNA polymerases I, II, and III 14.4 kDa polypeptide) (RPABC14.4) (RPB14.4) (RPB6 homolog) (RPC15)",,5 out of 5
P60896,SEM1_HUMAN,reviewed,26S proteasome complex subunit SEM1 (26S proteasome complex subunit DSS1) (Deleted in split hand/split foot protein 1) (Split hand/foot deleted protein 1) (Split hand/foot malformation type 1 protein),,5 out of 5
P47736,RPGP1_HUMAN,reviewed,Rap1 GTPase-activating protein 1 (Rap1GAP) (Rap1GAP1),,5 out of 5
P52655,TF2AA_HUMAN,reviewed,Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)],,5 out of 5
Q96AQ2,TM125_HUMAN,reviewed,Transmembrane protein 125,,2 out of 5
P47973,TTP_RAT,reviewed,mRNA decay activator protein ZFP36 (TPA-induced sequence 11) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36),,5 out of 5
Q9GZZ9,UBA5_HUMAN,reviewed,Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1),,5 out of 5
Q8NGS0,OR1N1_HUMAN,reviewed,Olfactory receptor 1N1 (Olfactory receptor 1-26) (OR1-26) (Olfactory receptor 1N3) (Olfactory receptor OR9-22),,3 out of 5
Q96NL0,RUN3B_HUMAN,reviewed,RUN domain-containing protein 3B (Rap2-binding protein 9) (Rap2-interacting protein 9) (RPIP-9),,4 out of 5
Q14151,SAFB2_HUMAN,reviewed,Scaffold attachment factor B2 (SAF-B2),,5 out of 5
Q9H3T3,SEM6B_HUMAN,reviewed,Semaphorin-6B (Semaphorin-Z) (Sema Z),,5 out of 5
P09874,PARP1_HUMAN,reviewed,Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-),DB04010;DB03509;DB03072;DB03722;DB03073;DB07787;DB07096;DB07330;DB02498;DB13877;DB02701;DB11793;DB02690;DB09074;DB12332;DB11760;DB00277;DB07232;DB01593;DB14487;DB14533;DB14548;,5 out of 5
Q9ULW8,PADI3_HUMAN,reviewed,Protein-arginine deiminase type-3 (EC 3.5.3.15) (Peptidylarginine deiminase III) (Protein-arginine deiminase type III),DB00155;,5 out of 5
P04637,P53_HUMAN,reviewed,Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53),DB08363;DB00945;DB05404;DB03347;DB01593;DB14487;DB14533;DB14548;,5 out of 5
P12955,PEPD_HUMAN,reviewed,Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase),,5 out of 5
Q9NQ66,PLCB1_HUMAN,reviewed,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 (EC 3.1.4.11) (PLC-154) (Phosphoinositide phospholipase C-beta-1) (Phospholipase C-I) (PLC-I) (Phospholipase C-beta-1) (PLC-beta-1)",,5 out of 5
Q9NZL6,RGL1_HUMAN,reviewed,Ral guanine nucleotide dissociation stimulator-like 1 (RalGDS-like 1),,4 out of 5
P01116,RASK_HUMAN,reviewed,"GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]",DB07771;DB15569;DB07780;DB15568;,5 out of 5
Q91YK2,RRP1B_MOUSE,reviewed,Ribosomal RNA processing protein 1 homolog B (RRP1-like protein B),,5 out of 5
P22307,SCP2_HUMAN,reviewed,Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X) (Straight-chain acyl-CoA oxidase) (SCOX),,5 out of 5
Q96EB6,SIR1_HUMAN,reviewed,NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)],DB15493;DB02709;DB13978;,5 out of 5
Q13127,REST_HUMAN,reviewed,RE1-silencing transcription factor (Neural-restrictive silencer factor) (X2 box repressor),,5 out of 5
O43166,SI1L1_HUMAN,reviewed,Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1) (High-risk human papilloma viruses E6 oncoproteins targeted protein 1) (E6-targeted protein 1),,5 out of 5
Q8IY92,SLX4_HUMAN,reviewed,Structure-specific endonuclease subunit SLX4 (BTB/POZ domain-containing protein 12),,5 out of 5
Q6P1D7,SLX4_MOUSE,reviewed,Structure-specific endonuclease subunit SLX4 (BTB/POZ domain-containing protein 12),,5 out of 5
Q96P16,RPR1A_HUMAN,reviewed,Regulation of nuclear pre-mRNA domain-containing protein 1A (Cyclin-dependent kinase inhibitor 2B-related protein) (p15INK4B-related protein),,5 out of 5
Q11201,SIA4A_HUMAN,reviewed,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 (Alpha 2,3-ST 1) (Beta-galactoside alpha-2,3-sialyltransferase 1) (EC 2.4.99.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Monosialoganglioside sialyltransferase) (EC 2.4.99.2) (SIATFL) (ST3Gal I) (ST3GalI) (ST3GalA.1) (ST3O) (Sialyltransferase 4A) (SIAT4-A)",,5 out of 5
Q702N8,XIRP1_HUMAN,reviewed,Xin actin-binding repeat-containing protein 1 (Cardiomyopathy-associated protein 1),,5 out of 5
Q15650,TRIP4_HUMAN,reviewed,Activating signal cointegrator 1 (ASC-1) (Thyroid receptor-interacting protein 4) (TR-interacting protein 4) (TRIP-4),,5 out of 5
P52948,NUP98_HUMAN,reviewed,Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)],,5 out of 5
Q9H4B4,PLK3_HUMAN,reviewed,Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase),DB12010;,5 out of 5
Q60953,PML_MOUSE,reviewed,Protein PML,,5 out of 5
P01236,PRL_HUMAN,reviewed,Prolactin (PRL),,5 out of 5
Q504Y0,S39AC_HUMAN,reviewed,Zinc transporter ZIP12 (LIV-1 subfamily of ZIP zinc transporter 8) (LZT-Hs8) (Solute carrier family 39 member 12) (Zrt- and Irt-like protein 12) (ZIP-12),DB14533;DB14548;,5 out of 5
P24557,THAS_HUMAN,reviewed,Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),DB03052;DB05505;DB01207;DB00795;,5 out of 5
Q15858,SCN9A_HUMAN,reviewed,Sodium channel protein type 9 subunit alpha (Neuroendocrine sodium channel) (hNE-Na) (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7),DB09088;DB13746;DB05541;DB00564;DB00907;DB13269;DB13961;DB06218;DB00555;DB00281;DB00776;DB11186;DB09345;DB01069;DB09342;DB00243;DB06201;DB09085;DB00273;DB00313;DB00909;,5 out of 5
O94956,SO2B1_HUMAN,reviewed,Solute carrier organic anion transporter family member 2B1 (Organic anion transporter B) (OATP-B) (Organic anion transporter polypeptide-related protein 2) (OATP-RP2) (OATPRP2) (Solute carrier family 21 member 9),DB03166;DB00770;DB11586;DB01072;DB01076;DB12319;DB03793;DB01053;DB11591;DB08862;DB04272;DB00286;DB09213;DB00255;DB00917;DB00975;DB05928;DB00530;DB13952;DB13953;DB13954;DB13955;DB13956;DB00655;DB00950;DB01095;DB01241;DB01645;DB01016;DB01050;DB01088;DB00224;DB01167;DB04398;DB11660;DB00451;DB11611;DB00227;DB00471;DB03467;DB01149;DB00220;DB00627;DB01051;DB03902;DB12978;DB02746;DB00554;DB08860;DB01708;DB05804;DB00175;DB04216;DB00206;DB01045;DB11753;DB00503;DB01098;DB00936;DB01232;DB09298;DB06290;DB00641;DB00795;DB04348;DB05521;DB00759;DB00932;DB01124;DB00313;DB11613;,5 out of 5
O60284,ST18_HUMAN,reviewed,Suppression of tumorigenicity 18 protein (Zinc finger protein 387),,5 out of 5
Q9NV64,TM39A_HUMAN,reviewed,Transmembrane protein 39A,,5 out of 5
Q96SI9,STRBP_HUMAN,reviewed,Spermatid perinuclear RNA-binding protein,,5 out of 5
Q7RTN6,STRAA_HUMAN,reviewed,STE20-related kinase adapter protein alpha (STRAD alpha) (STE20-related adapter protein) (Serologically defined breast cancer antigen NY-BR-96),,5 out of 5
Q8NEQ6,SRARP_HUMAN,reviewed,Steroid receptor-associated and regulated protein (ER-related factor) (Steroid receptor-regulated protein),,5 out of 5
Q96T51,RUFY1_HUMAN,reviewed,RUN and FYVE domain-containing protein 1 (FYVE-finger protein EIP1) (La-binding protein 1) (Rab4-interacting protein) (Zinc finger FYVE domain-containing protein 12),,5 out of 5
Q96BI1,S22AI_HUMAN,reviewed,Solute carrier family 22 member 18 (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene A protein) (Efflux transporter-like protein) (Imprinted multi-membrane-spanning polyspecific transporter-related protein 1) (Organic cation transporter-like protein 2) (ORCTL-2) (Solute carrier family 22 member 1-like) (Tumor-suppressing STF cDNA 5 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 5 protein) (p45-Beckwith-Wiedemann region 1 A) (p45-BWR1A),,5 out of 5
P23381,SYWC_HUMAN,reviewed,"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Interferon-induced protein 53) (IFP53) (Tryptophanyl-tRNA synthetase) (TrpRS) (hWRS) [Cleaved into: T1-TrpRS; T2-TrpRS]",DB00150;DB04537;DB01831;,5 out of 5
Q01959,SC6A3_HUMAN,reviewed,Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3),DB01472;DB04947;DB00543;DB00182;DB01238;DB06413;DB00245;DB00865;DB01156;DB01161;DB01114;DB00907;DB12305;DB06700;DB06701;DB01576;DB00937;DB01146;DB00988;DB00476;DB01363;DB01175;DB09194;DB01463;DB00458;DB08824;DB00408;DB00579;DB00454;DB01577;DB00422;DB06148;DB01454;DB01442;DB00745;DB01149;DB04821;DB00830;DB00191;DB00721;DB00852;DB01104;DB01105;DB14754;DB06156;DB00726;DB06333;DB03701;DB00285;,5 out of 5
P59808,SASH1_MOUSE,reviewed,SAM and SH3 domain-containing protein 1,,4 out of 5
O75602,SPAG6_HUMAN,reviewed,Sperm-associated antigen 6 (Protein PF16 homolog) (Repro-SA-1) (Sperm flagellar protein),,5 out of 5
P40763,STAT3_HUMAN,reviewed,Signal transducer and activator of transcription 3 (Acute-phase response factor),DB05959;,5 out of 5
O75934,SPF27_HUMAN,reviewed,Pre-mRNA-splicing factor SPF27 (Breast carcinoma-amplified sequence 2) (DNA amplified in mammary carcinoma 1 protein) (Spliceosome-associated protein SPF 27),,5 out of 5
Q5T4S7,UBR4_HUMAN,reviewed,E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1),DB05483;DB04959;,5 out of 5
Q5SYB0,FRPD1_HUMAN,reviewed,FERM and PDZ domain-containing protein 1 (FERM domain-containing protein 2),,5 out of 5
Q6PJQ5,FOXR2_HUMAN,reviewed,Forkhead box protein R2 (Forkhead box protein N6),,3 out of 5
P07093,GDN_HUMAN,reviewed,Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2),,5 out of 5
Q7L7L0,H2A3_HUMAN,reviewed,Histone H2A type 3,,5 out of 5
Q9C091,GRB1L_HUMAN,reviewed,GREB1-like protein (Growth regulation by estrogen in breast cancer 1-like protein),,5 out of 5
Q13615,MTMR3_HUMAN,reviewed,"Myotubularin-related protein 3 (EC 3.1.3.48) (FYVE domain-containing dual specificity protein phosphatase 1) (FYVE-DSP1) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64) (Zinc finger FYVE domain-containing protein 10)",,5 out of 5
Q13547,HDAC1_HUMAN,reviewed,Histone deacetylase 1 (HD1) (EC 3.5.1.98),DB12565;DB01169;DB05015;DB08868;DB11830;DB06603;DB05223;DB06176;DB02546;DB01593;DB14487;DB14533;DB14548;,5 out of 5
Q9BY89,K1671_HUMAN,reviewed,Uncharacterized protein KIAA1671,,2 out of 5
Q14145,KEAP1_HUMAN,reviewed,Kelch-like ECH-associated protein 1 (Cytosolic inhibitor of Nrf2) (INrf2) (Kelch-like protein 19),DB08908;,5 out of 5
C7EMF5,KLF17_PIG,reviewed,Krueppel-like factor 17,,2 out of 5
Q5JT82,KLF17_HUMAN,reviewed,Krueppel-like factor 17 (Zinc finger protein 393),,4 out of 5
O60229,KALRN_HUMAN,reviewed,Kalirin (EC 2.7.11.1) (Huntingtin-associated protein-interacting protein) (Protein Duo) (Serine/threonine-protein kinase with Dbl- and pleckstrin homology domain),,5 out of 5
P35579,MYH9_HUMAN,reviewed,"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)",DB11638;,5 out of 5
P15172,MYOD1_HUMAN,reviewed,Myoblast determination protein 1 (Class C basic helix-loop-helix protein 1) (bHLHc1) (Myogenic factor 3) (Myf-3),,5 out of 5
Q9JLI4,NCOA6_RAT,reviewed,"Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein) (Fragment)",,5 out of 5
P51956,NEK3_HUMAN,reviewed,Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3),DB12010;,5 out of 5
Q8N6Y1,PCD20_HUMAN,reviewed,Protocadherin-20 (Protocadherin-13),,3 out of 5
Q12972,PP1R8_HUMAN,reviewed,Nuclear inhibitor of protein phosphatase 1 (NIPP-1) (Protein phosphatase 1 regulatory inhibitor subunit 8) [Includes: Activator of RNA decay (EC 3.1.4.-) (ARD-1)],,5 out of 5
O15297,PPM1D_HUMAN,reviewed,Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1),,5 out of 5
Q8IYK4,GT252_HUMAN,reviewed,Procollagen galactosyltransferase 2 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 2) (ColGalT 2) (Glycosyltransferase 25 family member 2) (Hydroxylysine galactosyltransferase 2),,5 out of 5
P51149,RAB7A_HUMAN,reviewed,Ras-related protein Rab-7a (EC 3.6.5.2),DB04315;,5 out of 5
Q4LDE5,SVEP1_HUMAN,reviewed,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (CCP module-containing protein 22) (Polydom) (Selectin-like osteoblast-derived protein) (SEL-OB) (Serologically defined breast cancer antigen NY-BR-38)",,5 out of 5
Q9NX61,T161A_HUMAN,reviewed,Transmembrane protein 161A (Adaptive response to oxidative stress protein 29) (AROS-29),,5 out of 5
Q9NTX7,RN146_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF146 (EC 2.3.2.27) (Dactylidin) (Iduna) (RING finger protein 146) (RING-type E3 ubiquitin transferase RNF146),,5 out of 5
Q9UBY0,SL9A2_HUMAN,reviewed,Sodium/hydrogen exchanger 2 (Na(+)/H(+) exchanger 2) (NHE-2) (Solute carrier family 9 member 2),,5 out of 5
Q13433,S39A6_HUMAN,reviewed,Zinc transporter ZIP6 (Estrogen-regulated protein LIV-1) (Solute carrier family 39 member 6) (Zrt- and Irt-like protein 6) (ZIP-6),DB14533;DB14548;,5 out of 5
O75443,TECTA_HUMAN,reviewed,Alpha-tectorin,,5 out of 5
Q04206,TF65_HUMAN,reviewed,Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3),DB08908;DB14059;,5 out of 5
Q9HCS4,TF7L1_HUMAN,reviewed,Transcription factor 7-like 1 (HMG box transcription factor 3) (TCF-3),,5 out of 5
Q8WYJ6,SEPT1_HUMAN,reviewed,Septin-1 (LARP) (Peanut-like protein 3) (Serologically defined breast cancer antigen NY-BR-24),,5 out of 5
Q9UBP0,SPAST_HUMAN,reviewed,Spastin (EC 5.6.1.1) (Spastic paraplegia 4 protein),,5 out of 5
Q9HAU4,SMUF2_HUMAN,reviewed,E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),,5 out of 5
Q8IU80,TMPS6_HUMAN,reviewed,Transmembrane protease serine 6 (EC 3.4.21.-) (Matriptase-2),,5 out of 5
Q9NSC7,SIA7A_HUMAN,reviewed,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 (EC 2.4.99.3) (GalNAc alpha-2,6-sialyltransferase I) (ST6GalNAc I) (ST6GalNAcI) (Sialyltransferase 7A) (SIAT7-A)",,4 out of 5
Q13043,STK4_HUMAN,reviewed,Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)],,5 out of 5
Q07955,SRSF1_HUMAN,reviewed,"Serine/arginine-rich splicing factor 1 (Alternative-splicing factor 1) (ASF-1) (Splicing factor, arginine/serine-rich 1) (pre-mRNA-splicing factor SF2, P33 subunit)",DB09130;,5 out of 5
Q9BWX1,PHF7_HUMAN,reviewed,PHD finger protein 7 (Testis development protein NYD-SP6),,5 out of 5
Q99623,PHB2_HUMAN,reviewed,Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity),DB06774;DB15496;DB15495;,5 out of 5
P29590,PML_HUMAN,reviewed,Protein PML (E3 SUMO-protein ligase PML) (EC 2.3.2.-) (Promyelocytic leukemia protein) (RING finger protein 71) (RING-type E3 SUMO transferase PML) (Tripartite motif-containing protein 19) (TRIM19),DB01169;,5 out of 5
P12272,PTHR_HUMAN,reviewed,Parathyroid hormone-related protein (PTH-rP) (PTHrP) (Parathyroid hormone-like protein) (PLP) [Cleaved into: PTHrP[1-36]; PTHrP[38-94]; Osteostatin (PTHrP[107-139])],,5 out of 5
Q13882,PTK6_HUMAN,reviewed,Protein-tyrosine kinase 6 (EC 2.7.10.2) (Breast tumor kinase) (Tyrosine-protein kinase BRK),DB12010;DB05294;DB15035;,5 out of 5
P63244,RACK1_HUMAN,reviewed,"Receptor of activated protein C kinase 1 (Cell proliferation-inducing gene 21 protein) (Guanine nucleotide-binding protein subunit beta-2-like 1) (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Human lung cancer oncogene 7 protein) (HLC-7) (Receptor for activated C kinase) (Small ribosomal subunit protein RACK1) [Cleaved into: Receptor of activated protein C kinase 1, N-terminally processed (Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed)]",DB09130;,5 out of 5
P15153,RAC2_HUMAN,reviewed,Ras-related C3 botulinum toxin substrate 2 (GX) (Small G protein) (p21-Rac2),DB00514;,5 out of 5
P46781,RS9_HUMAN,reviewed,40S ribosomal protein S9 (Small ribosomal subunit protein uS4),DB11638;,5 out of 5
Q9HB58,SP110_HUMAN,reviewed,Sp110 nuclear body protein (Interferon-induced protein 41/75) (Speckled 110 kDa) (Transcriptional coactivator Sp110),,5 out of 5
